Offset-Description                                                                   
0000 - Double            2E65288A180 : 0.000036837183872E6528E08B0 : 0               
0008 - d:hpMax           2E65288A188 : 880             2E6528E08B8 : 540             
000C - 4 Bytes           2E65288A18C : 0               2E6528E08BC : 0               
0010 - d:hp              2E65288A190 : 700             2E6528E08C0 : 428             
0014 - Double            2E65288A194 : 0.001106739975512E6528E08C4 : 0               
001C - 4 Bytes           2E65288A19C : 0               2E6528E08CC : 0               
0020 - 4 Bytes           2E65288A1A0 : 13345           2E6528E08D0 : 112             
0024 - 4 Bytes           2E65288A1A4 : 0               2E6528E08D4 : 0               
0028 - Pointer           2E65288A1A8 : P->2E652878FA0  2E6528E08D8 : P->2E6527B4380  
0030 - Pointer           2E65288A1B0 : P->2E652878FA0  2E6528E08E0 : P->2E6527B4380  
0038 - f:精力          2E65288A1B8 : 960             2E6528E08E8 : 156.3953857     
003C - f:精力上限    2E65288A1BC : 960             2E6528E08EC : 1000            
0040 - Float             2E65288A1C0 : 956.6124268     2E6528E08F0 : 151.3953857     
0044 - Float             2E65288A1C4 : -0.2516784668   2E6528E08F4 : 0               
0048 - 4 Bytes           2E65288A1C8 : 0               2E6528E08F8 : 0               
004C - 4 Bytes           2E65288A1CC : 0               2E6528E08FC : 0               
0050 - 4 Bytes           2E65288A1D0 : 0               2E6528E0900 : 0               
0054 - Double            2E65288A1D4 : 1843.200441789632E6528E0904 : 2048.00049304962
005C - Double            2E65288A1DC : 0.007812501848092E6528E090C : 0.00781250184809323
0064 - Float             2E65288A1E4 : -1              2E6528E0914 : -1              
0068 - Float             2E65288A1E8 : 1               2E6528E0918 : 1               
006C - Float             2E65288A1EC : -1              2E6528E091C : -1              
0070 - 4 Bytes           2E65288A1F0 : 0               2E6528E0920 : 0               
0074 - 4 Bytes           2E65288A1F4 : 0               2E6528E0924 : 0               
0078 - 4 Bytes           2E65288A1F8 : 0               2E6528E0928 : 0               
007C - 4 Bytes           2E65288A1FC : 0               2E6528E092C : 0               
0080 - 4 Bytes           2E65288A200 : 0               2E6528E0930 : 0               
0084 - Double            2E65288A204 : -0.0078125      2E6528E0934 : -0.0078125      
008C - Float             2E65288A20C : -1              2E6528E093C : -1              
0090 - Float             2E65288A210 : -1              2E6528E0940 : -1              
0094 - Float             2E65288A214 : -1              2E6528E0944 : -1              
0098 - Float             2E65288A218 : 0.5             2E6528E0948 : 32              
009C - 4 Bytes           2E65288A21C : 0               2E6528E094C : 0               
00A0 - 4 Bytes           2E65288A220 : 0               2E6528E0950 : 0               
00A4 - 4 Bytes           2E65288A224 : 0               2E6528E0954 : 0               
00A8 - Pointer           2E65288A228 : P->2E652878FA0  2E6528E0958 : P->2E6527B4380  
00B0 - Float             2E65288A230 : -0.6988677979   2E6528E0960 : 3.050097869E11  
00B4 - 4 Bytes           2E65288A234 : 0               2E6528E0964 : 0               
00B8 - 4 Bytes           2E65288A238 : 5000            2E6528E0968 : 5000            
00BC - 4 Bytes           2E65288A23C : 5000            2E6528E096C : 5000            
00C0 - 4 Bytes           2E65288A240 : 0               2E6528E0970 : 0               
00C4 - Double            2E65288A244 : 0.001615762710572E6528E0974 : 0               
00CC - 4 Bytes           2E65288A24C : 0               2E6528E097C : 0               
00D0 - 4 Bytes           2E65288A250 : 4294967295      2E6528E0980 : 4294967295      
00D4 - Float             2E65288A254 : -0.1728515625   2E6528E0984 : 0               
00D8 - 4 Bytes           2E65288A258 : 0               2E6528E0988 : 0               
00DC - 4 Bytes           2E65288A25C : 0               2E6528E098C : 0               
00E0 - 4 Bytes           2E65288A260 : 0               2E6528E0990 : 0               
00E4 - Float             2E65288A264 : 100             2E6528E0994 : 100             
00E8 - Float             2E65288A268 : 0.05999999866   2E6528E0998 : 0.05999999866   
00EC - Float             2E65288A26C : 1               2E6528E099C : 1               
00F0 - 4 Bytes           2E65288A270 : 0               2E6528E09A0 : 0               
00F4 - Float             2E65288A274 : 0.200000003     2E6528E09A4 : 0.200000003     
00F8 - Double            2E65288A278 : 0.0078125       2E6528E09A8 : 0.0078125       
0100 - Float             2E65288A280 : 0.200000003     2E6528E09B0 : 0.200000003     
0104 - Float             2E65288A284 : 0.150000006     2E6528E09B4 : 0.150000006     
0108 - Float             2E65288A288 : 900             2E6528E09B8 : 900             
010C - Float             2E65288A28C : 1               2E6528E09BC : 1               
0110 - 4 Bytes           2E65288A290 : 0               2E6528E09C0 : 0               
0114 - Float             2E65288A294 : -0.27734375     2E6528E09C4 : 0               
0118 - Pointer           2E65288A298 : P->2E652878FA0  2E6528E09C8 : P->2E6527B4380  
0120 - 4 Bytes           2E65288A2A0 : 0               2E6528E09D0 : 0               
0124 - Float             2E65288A2A4 : -0.03898420185  2E6528E09D4 : 0               
0128 - 4 Bytes           2E65288A2A8 : 0               2E6528E09D8 : 0               
012C - 4 Bytes           2E65288A2AC : 0               2E6528E09DC : 0               
0130 - Pointer           2E65288A2B0 : P->2E652878FA0  2E6528E09E0 : P->2E6527B4380  
0138 - Float             2E65288A2B8 : 0.5             2E6528E09E8 : 0               
013C - 4 Bytes           2E65288A2BC : 4294967295      2E6528E09EC : 4294967295      
0140 - 4 Bytes           2E65288A2C0 : 4294967295      2E6528E09F0 : 4294967295      
0144 - 4 Bytes           2E65288A2C4 : 0               2E6528E09F4 : 0               
0148 - 4 Bytes           2E65288A2C8 : 4294967295      2E6528E09F8 : 4294967295      
014C - 4 Bytes           2E65288A2CC : 0               2E6528E09FC : 0               
0150 - 4 Bytes           2E65288A2D0 : 4294967295      2E6528E0A00 : 4294967295      
0154 - 4 Bytes           2E65288A2D4 : 0               2E6528E0A04 : 0               
0158 - 4 Bytes           2E65288A2D8 : 0               2E6528E0A08 : 0               
015C - Double            2E65288A2DC : 0.0078125       2E6528E0A0C : 0.0078125       
0164 - Float             2E65288A2E4 : 1               2E6528E0A14 : 1               
0168 - Float             2E65288A2E8 : 1               2E6528E0A18 : 1               
016C - Float             2E65288A2EC : 1               2E6528E0A1C : 1               
0170 - Float             2E65288A2F0 : 1               2E6528E0A20 : 1               
0174 - Float             2E65288A2F4 : 1               2E6528E0A24 : 1               
0178 - Float             2E65288A2F8 : 1               2E6528E0A28 : 1               
017C - Float             2E65288A2FC : 1               2E6528E0A2C : 1               
0180 - Float             2E65288A300 : 1               2E6528E0A30 : 1               
0184 - 4 Bytes           2E65288A304 : 0               2E6528E0A34 : 0               
0188 - 4 Bytes           2E65288A308 : 0               2E6528E0A38 : 0               
018C - 4 Bytes           2E65288A30C : 0               2E6528E0A3C : 0               
0190 - 4 Bytes           2E65288A310 : 0               2E6528E0A40 : 0               
0194 - 4 Bytes           2E65288A314 : 0               2E6528E0A44 : 0               
0198 - 4 Bytes           2E65288A318 : 0               2E6528E0A48 : 0               
019C - Double            2E65288A31C : -0.00115966796872E6528E0A4C : 0               
01A4 - 4 Bytes           2E65288A324 : 0               2E6528E0A54 : 0               
01A8 - 4 Bytes           2E65288A328 : 0               2E6528E0A58 : 0               
01AC - 4 Bytes           2E65288A32C : 0               2E6528E0A5C : 0               
01B0 - 4 Bytes           2E65288A330 : 0               2E6528E0A60 : 0               
01B4 - Float             2E65288A334 : -0.3144601583   2E6528E0A64 : 0               
01B8 - 4 Bytes           2E65288A338 : 0               2E6528E0A68 : 0               
01BC - 4 Bytes           2E65288A33C : 0               2E6528E0A6C : 0               
01C0 - 4 Bytes           2E65288A340 : 0               2E6528E0A70 : 0               
01C4 - 4 Bytes           2E65288A344 : 0               2E6528E0A74 : 0               
01C8 - 4 Bytes           2E65288A348 : 0               2E6528E0A78 : 0               
01CC - 4 Bytes           2E65288A34C : 0               2E6528E0A7C : 0               
01D0 - 4 Bytes           2E65288A350 : 0               2E6528E0A80 : 0               
01D4 - 4 Bytes           2E65288A354 : 0               2E6528E0A84 : 0               
01D8 - 4 Bytes           2E65288A358 : 0               2E6528E0A88 : 0               
01DC - 4 Bytes           2E65288A35C : 0               2E6528E0A8C : 0               
01E0 - 4 Bytes           2E65288A360 : 0               2E6528E0A90 : 0               
01E4 - 4 Bytes           2E65288A364 : 0               2E6528E0A94 : 0               
01E8 - 4 Bytes           2E65288A368 : 0               2E6528E0A98 : 0               
01EC - 4 Bytes           2E65288A36C : 0               2E6528E0A9C : 0               
01F0 - 4 Bytes           2E65288A370 : 0               2E6528E0AA0 : 0               
